date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:45:38	148/148	---M--	302	error ('Found')	text/html	date:Mon,%2012%20Jan%202015%2020:11:04%20GMT	http://www.evanshalshaw.com/robots.txt		(from )
01:45:43	54179/54179	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Jan%202015%2020:11:06%20GMT	http://www.evanshalshaw.com/more/bondcars/	D:/MZ%207/bond/www.evanshalshaw.com/more/bondcars/index.html	(from )
01:45:47	163/163	---M--	302	error ('Found')	text/html	date:Mon,%2012%20Jan%202015%2020:11:12%20GMT	http://www.evanshalshaw.com/more/bondcars/favicon.gif	D:/MZ%207/bond/www.evanshalshaw.com/more/bondcars/favicon.0.delayed	(from http://www.evanshalshaw.com/more/bondcars/)
01:45:48	291/291	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jan%202015%2020:11:16%20GMT	http://m.evanshalshaw.com/Static/Content/BondCars/bond-img/fb-share-150x150.jpg	D:/MZ%207/bond/m.evanshalshaw.com/Static/Content/BondCars/bond-img/fb-share-150x150.1.delayed	(from http://www.evanshalshaw.com/more/bondcars/)
01:45:50	20215/20215	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Jan%202015%2020:11:16%20GMT	http://www.evanshalshaw.com/404/?aspxerrorpath=/more/bondcars/favicon.gif	D:/MZ%207/bond/www.evanshalshaw.com/404/index2b0e.html	(from http://www.evanshalshaw.com/more/bondcars/)
01:45:50	12241/12241	---M--	200	added ('OK')	image/jpeg	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/fb-share-150x150.jpg	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/fb-share-150x150.jpg	(from http://www.evanshalshaw.com/more/bondcars/)
01:45:51	9824/9824	---M-Z	200	added ('OK')	application/x-javascript	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-js/vendor/modernizr-2.6.2.min.js	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-js/vendor/modernizr-2.6.2.min.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:45:56	5746/5746	---M-Z	200	added ('OK')	text/css	etag:%223349339281+gzip%22	http://fast.fonts.com/cssapi/5fc3773a-915d-4784-b8f8-b89a266b5058.css	D:/MZ%207/bond/fast.fonts.com/cssapi/5fc3773a-915d-4784-b8f8-b89a266b5058.css	(from http://www.evanshalshaw.com/more/bondcars/)
01:45:57	9571/9571	---M-Z	200	added ('OK')	text/css	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/normalize.css	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-css/normalize.css	(from http://www.evanshalshaw.com/more/bondcars/)
01:45:58	40940/40940	---M-Z	200	added ('OK')	text/css	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css	(from http://www.evanshalshaw.com/more/bondcars/)
01:46:01	1435/1435	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Jan%202015%2020:16:01%20GMT	http://www.googletagmanager.com/gtm.js?id=	D:/MZ%207/bond/www.googletagmanager.com/gtm.75445.delayed	(from http://www.evanshalshaw.com/more/bondcars/)
01:46:18	82815/82815	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c1-illustration-bodywork.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c1-illustration-bodywork.png	(from http://www.evanshalshaw.com/more/bondcars/)
01:46:24	133144/133144	---M--	200	added ('OK')	image/jpeg	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/bond-cars-mobile.jpg	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/bond-cars-mobile.jpg	(from http://www.evanshalshaw.com/more/bondcars/)
01:46:28	53782/53782	---M--	200	added ('OK')	image/gif	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/152-james-bond.gif	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/152-james-bond.gif	(from http://www.evanshalshaw.com/more/bondcars/)
01:46:29	286/286	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jan%202015%2020:11:57%20GMT	http://m.evanshalshaw.com/Static/Content/BondCars/bond-img/infographic.jpg	D:/MZ%207/bond/m.evanshalshaw.com/Static/Content/BondCars/bond-img/infographic.e.delayed	(from http://www.evanshalshaw.com/more/bondcars/)
01:46:36	84783/84783	---M--	200	added ('OK')	image/gif	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/end-spiral.gif	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/end-spiral.gif	(from http://www.evanshalshaw.com/more/bondcars/)
01:46:47	324651/324651	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c6-photo-bodywork.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c6-photo-bodywork.png	(from http://www.evanshalshaw.com/more/bondcars/)
01:46:56	464110/464110	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c21-photo-bodywork.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c21-photo-bodywork.png	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:29	160570/160570	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c0636603c80bcc700f84a8f8b5121c71%22	http://connect.facebook.net/en_GB/all.js	D:/MZ%207/bond/connect.facebook.net/en_GB/all.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:32	936/936	---M--	200	added ('OK')	image/png	etag:%2261ed0472dfcbfaf25e7585f119adf76a%22	http://assets.pinterest.com/images/PinExt.png	D:/MZ%207/bond/assets.pinterest.com/images/PinExt.png	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:34	161/161	---M--	302	error ('Found')	text/html	date:Mon,%2012%20Jan%202015%2020:14:00%20GMT	http://www.evanshalshaw.com/static/js/jquery.min.js	D:/MZ%207/bond/www.evanshalshaw.com/static/js/jquery.min.13.delayed	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:37	7702/7702	---M-Z	200	added ('OK')	application/x-javascript	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-js/vendor/skrollr.min.js	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-js/vendor/skrollr.min.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:39	19552/19552	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Jan%202015%2020:14:03%20GMT	http://www.evanshalshaw.com/404/?aspxerrorpath=/static/js/jquery.min.js	D:/MZ%207/bond/www.evanshalshaw.com/404/indexefcf.html	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:39	93637/93637	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Nov%202012%2019:53:02%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	D:/MZ%207/bond/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:39	10815/10815	---M-Z	200	added ('OK')	application/x-javascript	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-js/main.js	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-js/main.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:48	235777/235777	---MC-	200	added ('OK')	text/javascript	date:Wed,%2017%20Oct%202012%2021:47:45%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.9.0/jquery-ui.min.js	D:/MZ%207/bond/ajax.googleapis.com/ajax/libs/jqueryui/1.9.0/jquery-ui.min.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:58	319/319	---M-Z	200	added ('OK')	application/javascript	etag:%2231cda645d48ea128da28bd1969414c12%22	http://assets.pinterest.com/js/pinit.js	D:/MZ%207/bond/assets.pinterest.com/js/pinit.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:48:58	110239/110239	---M-Z	200	added ('OK')	application/javascript	etag:%2209be9fc195308e02c9a422035c248531%22	https://platform.twitter.com/widgets.js	D:/MZ%207/bond/platform.twitter.com/widgets.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:49:01	283042/283042	---M-Z	200	added ('OK')	text/css	etag:%22037c8394ffd01:0%22	http://www.evanshalshaw.com/StyleSheets/Default.css	D:/MZ%207/bond/www.evanshalshaw.com/StyleSheets/Default.css	(from http://www.evanshalshaw.com/404/?aspxerrorpath=/more/bondcars/favicon.gif)
01:49:03	1157/1157	---M-Z	200	added ('OK')	application/javascript	etag:%220a97384ffd01:0%22	http://www.evanshalshaw.com/JavaScripts/jQueryPlugins/jquery.extensions.js	D:/MZ%207/bond/www.evanshalshaw.com/JavaScripts/jQueryPlugins/jquery.extensions.js	(from http://www.evanshalshaw.com/404/?aspxerrorpath=/more/bondcars/favicon.gif)
01:49:04	112171/112171	---M-Z	200	added ('OK')	application/javascript	etag:%220a97384ffd01:0%22	http://www.evanshalshaw.com/JavaScripts/jQuery/jquery.min.js	D:/MZ%207/bond/www.evanshalshaw.com/JavaScripts/jQuery/jquery.min.js	(from http://www.evanshalshaw.com/404/?aspxerrorpath=/more/bondcars/favicon.gif)
01:49:06	298709/298709	---M-Z	200	added ('OK')	application/javascript	etag:%220a97384ffd01:0%22	http://www.evanshalshaw.com/JavaScripts/jQuery/jquery.ui.min.js	D:/MZ%207/bond/www.evanshalshaw.com/JavaScripts/jQuery/jquery.ui.min.js	(from http://www.evanshalshaw.com/404/?aspxerrorpath=/more/bondcars/favicon.gif)
01:49:09	2253/2253	---M-Z	200	added ('OK')	application/javascript	etag:%220a97384ffd01:0%22	http://www.evanshalshaw.com/JavaScripts/jQueryPlugins/jquery.cookie.js	D:/MZ%207/bond/www.evanshalshaw.com/JavaScripts/jQueryPlugins/jquery.cookie.js	(from http://www.evanshalshaw.com/404/?aspxerrorpath=/more/bondcars/favicon.gif)
01:49:14	114567/114567	---M-Z	200	added ('OK')	application/javascript	etag:%220a97384ffd01:0%22	http://www.evanshalshaw.com/JavaScripts/library.js	D:/MZ%207/bond/www.evanshalshaw.com/JavaScripts/library.js	(from http://www.evanshalshaw.com/404/?aspxerrorpath=/more/bondcars/favicon.gif)
01:49:14	7929/7929	---M-Z	200	added ('OK')	application/javascript	etag:%220a97384ffd01:0%22	http://www.evanshalshaw.com/JavaScripts/jQueryPlugins/jquery.scrollTo.min.js	D:/MZ%207/bond/www.evanshalshaw.com/JavaScripts/jQueryPlugins/jquery.scrollTo.min.js	(from http://www.evanshalshaw.com/404/?aspxerrorpath=/more/bondcars/favicon.gif)
01:49:15	0/0	---M--	200	added ('OK')	text/css	etag:%221685107488%22	http://fast.fonts.com/t/1.css?apiType=css&projectid=5fc3773a-915d-4784-b8f8-b89a266b5058	D:/MZ%207/bond/fast.fonts.com/t/1.2184ed.delayed	(from http://fast.fonts.com/cssapi/5fc3773a-915d-4784-b8f8-b89a266b5058.css)
01:49:19	2608/2608	---M--	200	added ('OK')	image/gif	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/ajax-loader.gif	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/ajax-loader.gif	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:49:19	36967/36967	---MC-	200	added ('OK')	application/javascript	date:Mon,%2012%20Jan%202015%2020:18:55%20GMT	https://apis.google.com/js/plusone.js	D:/MZ%207/bond/apis.google.com/js/plusone.js	(from http://www.evanshalshaw.com/more/bondcars/)
01:49:19	275/275	---M--	200	added ('OK')	image/png	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/white-arrow-left.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/white-arrow-left.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:49:20	542/542	---M--	200	added ('OK')	image/png	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/wallpaper-download-icon.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/wallpaper-download-icon.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:49:20	1560/1560	---M--	200	added ('OK')	image/png	etag:%221D00F4F38970A00%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/evans-halshaw-logo.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/evans-halshaw-logo.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:49:21	10782/10782	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c1-date.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c1-date.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:22	29382/29382	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c2-part2.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c2-part2.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:22	8898/8898	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c2-date.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c2-date.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:23	8649/8649	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c3-part1.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c3-part1.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:25	14408/14408	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c3-part2.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c3-part2.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:25	7744/7744	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c3-date.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c3-date.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:27	9172/9172	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c4-date.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c4-date.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:33	52283/52283	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c5-illustration-bodywork.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c5-illustration-bodywork.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:35	97956/97956	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c4-illustration-bodywork.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c4-illustration-bodywork.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:53:37	170790/170790	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c3-illustration-bodywork.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c3-illustration-bodywork.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:55:27	7371/7371	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c5-part2.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c5-part2.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:55:31	8288/8288	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c5-date.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c5-date.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
01:57:36	34044/34044	---M--	200	added ('OK')	image/png	etag:%221D00F4F39C83700%22	http://www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c6-part1.png	D:/MZ%207/bond/www.evanshalshaw.com/Static/Content/BondCars/bond-img/cars/c6-part1.png	(from http://www.evanshalshaw.com/Static/Content/BondCars/bond-css/main.css)
